title,movieInfo,star,quote
蝴蝶效应 / TheButterflyEffect / 蝴蝶效应,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...;2004 / 美国加拿大 / 剧情悬疑科幻惊悚;;,8.7,人的命运被自己瞬间的抉择改变。
春光乍泄 / 春光乍洩 / 一起快乐/HappyTogether,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...;1997 / 香港日本韩国 / 剧情爱情同性;;,8.8,爱情纠缠，男女一致。
心灵捕手 / GoodWillHunting / 骄阳似我(港)/心灵捕手,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...;1997 / 美国 / 剧情;;,8.8,人生中应该拥有这样的一段豁然开朗。
入殓师 / おくりびと / 礼仪师之奏鸣曲(港)/礼仪师(台),导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...;2008 / 日本 / 剧情;;,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
猫鼠游戏 / CatchMeIfYouCan / 逍遥法外/神鬼交锋(台),导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...;2002 / 美国加拿大 / 传记犯罪剧情;;,8.8,骗子大师和执著警探的你追我跑故事。 
布达佩斯大饭店 / TheGrandBudapestHotel / 布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...;2014 / 美国德国英国 / 剧情喜剧冒险;;,8.8,小清新的故事里注入了大历史的情怀。
禁闭岛 / ShutterIsland / 不赦岛(港)/隔离岛(台),导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...;2010 / 美国 / 剧情悬疑惊悚;;,8.7,昔日翩翩少年，今日大腹便便。
玛丽和马克思 / MaryandMax / 巧克力情缘(台)/同是天涯寂寞客,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...;2009 / 澳大利亚 / 剧情动画;;,8.9,你是我最好的朋友，你是我唯一的朋友 。
阳光灿烂的日子 / IntheHeatoftheSun,导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao;1994 / 中国大陆香港 / 剧情;;,8.8,一场华丽的意淫。
幽灵公主 / もののけ姫 / 魔法公主/幽灵少女,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...;1997 / 日本 / 动画奇幻冒险;;,8.8,人与自然的战争史诗。
第六感 / TheSixthSense / 灵异第六感/鬼眼,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...;1999 / 美国 / 剧情悬疑惊悚;;,8.8,深入内心的恐怖，出人意料的结局。
狩猎 / Jagten / 谎言的烙印(台)/诬网(港),导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...;2012 / 丹麦瑞典 / 剧情;;,9.1,人言可畏。
重庆森林 / 重慶森林 / ChungkingExpress,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...;1994 / 香港 / 剧情爱情;;,8.7,寂寞没有期限。
穿条纹睡衣的男孩 / TheBoyintheStripedPajamas / 穿条纹衣服的男孩/穿条纹衣的男孩,导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/...;2008 / 英国美国 / 剧情战争;;,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
致命ID / Identity / 杀人游戏/致命身份,导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet;2003 / 美国 / 剧情悬疑惊悚;;,8.7,最不可能的那个人永远是最可能的。
断背山 / BrokebackMountain / 断臂山/BBM,导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...;2005 / 美国加拿大 / 剧情爱情同性家庭;;,8.7,每个人心中都有一座断背山。
加勒比海盗 / PiratesoftheCaribbean:TheCurseoftheBlackPearl / 加勒比海盗1：黑珍珠号的诅咒/神鬼奇航：鬼盗船魔咒(台),导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...;2003 / 美国 / 动作冒险奇幻;;,8.6,约翰尼·德普的独角戏。
阿凡达 / Avatar / 天神下凡(港)/化身,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...;2009 / 美国英国 / 动作战争科幻冒险;;,8.6,绝对意义上的美轮美奂。
"摩登时代 / ModernTimes / TheMasses/Tempsmodernes,Les",导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...;1936 / 美国 / 喜剧剧情爱情;;,9.2,大时代中的人生，小人物的悲喜。
大鱼 / BigFish / 大鱼奇缘(港)/大智若鱼(台),导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...;2003 / 美国 / 剧情家庭奇幻冒险;;,8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
告白 / 自白/母亲,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...;2010 / 日本 / 剧情惊悚;;,8.7,没有一人完全善，也没有一人完全恶。
一一 / Yiyi/Yiyi:AOneandaTwo,导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...;2000 / 台湾日本 / 剧情爱情家庭;;,9.0,我们都曾经是一一。
射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就/大英雄(日本),导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...;1993 / 香港 / 喜剧古装;;,8.7,百看不厌。 
甜蜜蜜 / Comrades:AlmostaLoveStory,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...;1996 / 香港 / 剧情爱情;;,8.8,相逢只要一瞬间，等待却像是一辈子。
阳光姐妹淘 / 써니 / 阳光姊妹淘(港)/桑尼,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...;2011 / 韩国 / 剧情喜剧;;,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
消失的爱人 / GoneGirl / 失踪的女孩/失踪女孩,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...;2014 / 美国 / 剧情犯罪悬疑惊悚;;,8.7,年度最佳date movie。
爱在黎明破晓前 / BeforeSunrise / 情留半天(港)/爱在黎明破晓时(台),导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...;1995 / 美国奥地利瑞士 / 剧情爱情;;,8.7,缘分是个连绵词，最美不过一瞬。
上帝之城 / CidadedeDeus / 无主之城(港)/无法无天(台),导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...;2002 / 巴西法国 / 犯罪剧情;;,8.9,被上帝抛弃了的上帝之城。
喜剧之王 / 喜劇之王 / KingofComedy,导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...;1999 / 香港 / 喜剧剧情爱情;;,8.6,我是一个演员。
小森林夏秋篇 / リトル・フォレスト夏・秋 / 小森食光/夏秋篇(台),导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...;2014 / 日本 / 剧情;;,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。
侧耳倾听 / 耳をすませば / 心之谷/梦幻街少女,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...;1995 / 日本 / 剧情爱情动画;;,8.8,少女情怀总是诗。
倩女幽魂 / 倩女幽魂(87版)/AChineseGhostStory,导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...;1987 / 香港 / 剧情爱情武侠古装;;,8.6,两张绝世的脸。 
恐怖直播 / 더테러라이브 / 死亡“动”新闻(港)/恐怖攻击直播(台),导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...;2013 / 韩国 / 剧情犯罪悬疑;;,8.7,恐怖分子的“秋菊打官司”。
